symbol,name,category,sub_category,candidate_status,eligibility_status,gate_passed,blocked,block_reason,observation_reason,data_quality_status,history_status,cache_status,liquidity_status,price_quality_status,strategy_eligibility,remediation_priority,requires_manual_review,exclude_from_candidate_pool,factor_score_status,factor_gate_status,recommended_action,notes
159231,通用航空ETF华宝,unknown,指数型-股票,blocked_manual_review,blocked,False,True,manual_review_required;exclude_from_candidate_pool,low_liquidity,failed,short_history,fresh,low_liquidity,requires_review,blocked_manual_review,P0_manual_review,True,True,unknown,blocked_for_strategy_use,manual price-quality review before any strategy use or refresh acceptance,short history is not a low score; it blocks strategy eligibility until enough rows accumulate; abnormal return may reflect adjustment/source issues and requires manual confirmation
159246,创业板人工智能ETF富国,broad_based,指数型-股票,blocked_manual_review,blocked,False,True,manual_review_required;exclude_from_candidate_pool,,failed,short_history,fresh,ok,requires_review,blocked_manual_review,P0_manual_review,True,True,unknown,blocked_for_strategy_use,manual price-quality review before any strategy use or refresh acceptance,short history is not a low score; it blocks strategy eligibility until enough rows accumulate; abnormal return may reflect adjustment/source issues and requires manual confirmation
159287,创业板综ETF博时,broad_based,指数型-股票,blocked_manual_review,blocked,False,True,manual_review_required;exclude_from_candidate_pool,low_liquidity,failed,short_history,fresh,low_liquidity,requires_review,blocked_manual_review,P0_manual_review,True,True,unknown,blocked_for_strategy_use,manual price-quality review before any strategy use or refresh acceptance,short history is not a low score; it blocks strategy eligibility until enough rows accumulate; abnormal return may reflect adjustment/source issues and requires manual confirmation
159387,创业板新能源ETF国泰,broad_based,指数型-股票,blocked_manual_review,blocked,False,True,manual_review_required;exclude_from_candidate_pool,,failed,short_history,fresh,ok,requires_review,blocked_manual_review,P0_manual_review,True,True,unknown,blocked_for_strategy_use,manual price-quality review before any strategy use or refresh acceptance,short history is not a low score; it blocks strategy eligibility until enough rows accumulate; abnormal return may reflect adjustment/source issues and requires manual confirmation
560320,N食品ETF富国,unknown,指数型-股票,blocked_manual_review,blocked,False,True,manual_review_required;exclude_from_candidate_pool,,failed,very_short_history,fresh,ok,ok,blocked_manual_review,P0_manual_review,True,True,unknown,blocked_for_strategy_use,manual price-quality review before any strategy use or refresh acceptance,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159007,养殖ETF华泰柏瑞,industry,指数型-股票,blocked_short_history,blocked,False,True,short_history;exclude_from_candidate_pool,,failed,very_short_history,fresh,ok,ok,blocked_short_history,P1_short_history_observe,False,True,ok,blocked_for_strategy_use,keep observation_only until row_count reaches the minimum history requirement,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159008,证券ETF景顺,industry,指数型-股票,blocked_short_history,blocked,False,True,short_history;exclude_from_candidate_pool,,failed,very_short_history,fresh,ok,ok,blocked_short_history,P1_short_history_observe,False,True,ok,blocked_for_strategy_use,keep observation_only until row_count reaches the minimum history requirement,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159009,创业板新能源ETF易方达,broad_based,指数型-股票,blocked_short_history,blocked,False,True,short_history;exclude_from_candidate_pool,low_liquidity,failed,very_short_history,fresh,low_liquidity,ok,blocked_short_history,P1_short_history_observe,False,True,ok,blocked_for_strategy_use,keep observation_only until row_count reaches the minimum history requirement,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159013,工业互联网ETF大成,unknown,指数型-股票,blocked_short_history,blocked,False,True,short_history;exclude_from_candidate_pool,,failed,very_short_history,fresh,ok,ok,blocked_short_history,P1_short_history_observe,False,True,ok,blocked_for_strategy_use,keep observation_only until row_count reaches the minimum history requirement,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159017,石油ETF工银,industry,指数型-股票,blocked_short_history,blocked,False,True,short_history;exclude_from_candidate_pool,low_liquidity,failed,very_short_history,fresh,low_liquidity,ok,blocked_short_history,P1_short_history_observe,False,True,ok,blocked_for_strategy_use,keep observation_only until row_count reaches the minimum history requirement,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159018,石油ETF广发,industry,指数型-股票,blocked_short_history,blocked,False,True,short_history;exclude_from_candidate_pool,,failed,very_short_history,fresh,ok,ok,blocked_short_history,P1_short_history_observe,False,True,ok,blocked_for_strategy_use,keep observation_only until row_count reaches the minimum history requirement,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159019,石油ETF华宝,industry,指数型-股票,blocked_short_history,blocked,False,True,short_history;exclude_from_candidate_pool,,failed,very_short_history,fresh,ok,ok,blocked_short_history,P1_short_history_observe,False,True,ok,blocked_for_strategy_use,keep observation_only until row_count reaches the minimum history requirement,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159020,养殖ETF易方达,industry,指数型-股票,blocked_short_history,blocked,False,True,short_history;exclude_from_candidate_pool,low_liquidity,failed,very_short_history,fresh,low_liquidity,ok,blocked_short_history,P1_short_history_observe,False,True,ok,blocked_for_strategy_use,keep observation_only until row_count reaches the minimum history requirement,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159022,科创创业人工智能ETF富国,theme,指数型-股票,blocked_short_history,blocked,False,True,short_history;exclude_from_candidate_pool,,failed,very_short_history,fresh,ok,ok,blocked_short_history,P1_short_history_observe,False,True,ok,blocked_for_strategy_use,keep observation_only until row_count reaches the minimum history requirement,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159026,石油ETF南方,industry,指数型-股票,blocked_short_history,blocked,False,True,short_history;exclude_from_candidate_pool,,failed,very_short_history,fresh,ok,ok,blocked_short_history,P1_short_history_observe,False,True,ok,blocked_for_strategy_use,keep observation_only until row_count reaches the minimum history requirement,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159030,粮食ETF华夏,unknown,指数型-股票,blocked_short_history,blocked,False,True,short_history;exclude_from_candidate_pool,,failed,very_short_history,fresh,ok,ok,blocked_short_history,P1_short_history_observe,False,True,ok,blocked_for_strategy_use,keep observation_only until row_count reaches the minimum history requirement,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159032,工业有色ETF易方达,industry,指数型-股票,blocked_short_history,blocked,False,True,short_history;exclude_from_candidate_pool,,failed,very_short_history,fresh,ok,ok,blocked_short_history,P1_short_history_observe,False,True,no_used_factors,blocked_for_strategy_use,keep observation_only until row_count reaches the minimum history requirement,"short history is not a low score; it blocks strategy eligibility until enough rows accumulate; no_used_factors is unscoreable evidence, not a low score"
159100,巴西ETF华夏,unknown,指数型-海外股票,blocked_short_history,blocked,False,True,short_history;exclude_from_candidate_pool,,failed,short_history,fresh,ok,ok,blocked_short_history,P1_short_history_observe,False,True,ok,blocked_for_strategy_use,keep observation_only until row_count reaches the minimum history requirement,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159103,金融科技ETF汇添富,unknown,指数型-股票,blocked_short_history,blocked,False,True,short_history;exclude_from_candidate_pool,low_liquidity,failed,short_history,fresh,low_liquidity,ok,blocked_short_history,P1_short_history_observe,False,True,ok,blocked_for_strategy_use,keep observation_only until row_count reaches the minimum history requirement,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159106,民企300ETF前海开源,unknown,指数型-股票,blocked_short_history,blocked,False,True,short_history;exclude_from_candidate_pool,low_liquidity,failed,short_history,fresh,low_liquidity,ok,blocked_short_history,P1_short_history_observe,False,True,ok,blocked_for_strategy_use,keep observation_only until row_count reaches the minimum history requirement,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159107,创业板软件ETF富国,broad_based,指数型-股票,blocked_short_history,blocked,False,True,short_history;exclude_from_candidate_pool,,failed,short_history,fresh,ok,ok,blocked_short_history,P1_short_history_observe,False,True,ok,blocked_for_strategy_use,keep observation_only until row_count reaches the minimum history requirement,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159108,工业软件ETF博时,unknown,指数型-股票,blocked_short_history,blocked,False,True,short_history;exclude_from_candidate_pool,low_liquidity,failed,short_history,fresh,low_liquidity,ok,blocked_short_history,P1_short_history_observe,False,True,ok,blocked_for_strategy_use,keep observation_only until row_count reaches the minimum history requirement,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159122,创业板新能源ETF富国,broad_based,指数型-股票,blocked_short_history,blocked,False,True,short_history;exclude_from_candidate_pool,low_liquidity,failed,short_history,fresh,low_liquidity,ok,blocked_short_history,P1_short_history_observe,False,True,ok,blocked_for_strategy_use,keep observation_only until row_count reaches the minimum history requirement,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159123,光伏ETF嘉实,industry,指数型-股票,blocked_short_history,blocked,False,True,short_history;exclude_from_candidate_pool,low_liquidity,failed,short_history,fresh,low_liquidity,ok,blocked_short_history,P1_short_history_observe,False,True,ok,blocked_for_strategy_use,keep observation_only until row_count reaches the minimum history requirement,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159129,化工ETF嘉实,unknown,指数型-股票,blocked_short_history,blocked,False,True,short_history;exclude_from_candidate_pool,,failed,short_history,fresh,ok,ok,blocked_short_history,P1_short_history_observe,False,True,ok,blocked_for_strategy_use,keep observation_only until row_count reaches the minimum history requirement,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159133,化工ETF天弘,unknown,指数型-股票,blocked_short_history,blocked,False,True,short_history;exclude_from_candidate_pool,,failed,short_history,fresh,ok,ok,blocked_short_history,P1_short_history_observe,False,True,ok,blocked_for_strategy_use,keep observation_only until row_count reaches the minimum history requirement,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159136,A50ETF广发,unknown,指数型-股票,blocked_short_history,blocked,False,True,short_history;exclude_from_candidate_pool,low_liquidity,failed,short_history,fresh,low_liquidity,ok,blocked_short_history,P1_short_history_observe,False,True,ok,blocked_for_strategy_use,keep observation_only until row_count reaches the minimum history requirement,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159138,工程机械ETF易方达,unknown,指数型-股票,blocked_short_history,blocked,False,True,short_history;exclude_from_candidate_pool,low_liquidity,failed,short_history,fresh,low_liquidity,ok,blocked_short_history,P1_short_history_observe,False,True,ok,blocked_for_strategy_use,keep observation_only until row_count reaches the minimum history requirement,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159139,科创创业人工智能ETF华泰柏瑞,theme,指数型-股票,blocked_short_history,blocked,False,True,short_history;exclude_from_candidate_pool,,failed,short_history,fresh,ok,ok,blocked_short_history,P1_short_history_observe,False,True,ok,blocked_for_strategy_use,keep observation_only until row_count reaches the minimum history requirement,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159140,科创创业人工智能ETF易方达,theme,指数型-股票,blocked_short_history,blocked,False,True,short_history;exclude_from_candidate_pool,,failed,short_history,fresh,ok,ok,blocked_short_history,P1_short_history_observe,False,True,ok,blocked_for_strategy_use,keep observation_only until row_count reaches the minimum history requirement,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159141,科创创业人工智能ETF永赢,theme,指数型-股票,blocked_short_history,blocked,False,True,short_history;exclude_from_candidate_pool,,failed,short_history,fresh,ok,ok,blocked_short_history,P1_short_history_observe,False,True,unknown,blocked_for_strategy_use,keep observation_only until row_count reaches the minimum history requirement,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
