symbol,name,current_candidate_status,current_block_reason,unblock_path,unblock_status,unblock_priority,required_conditions,waiting_condition,manual_review_condition,benchmark_condition,factor_gate_condition,metadata_condition,liquidity_condition,estimated_earliest_review_date,can_be_unblocked_by_waiting,can_be_unblocked_by_manual_review,can_be_unblocked_by_refresh,can_be_unblocked_by_benchmark_update,still_blocked_after_primary_fix,next_action,notes
159231,通用航空ETF华宝,blocked_manual_review,manual_review_required;exclude_from_candidate_pool,manual_review_required,requires_manual_review,P0_manual_review,row_count >= min_required_rows (249/250; rows_needed=1); manual review confirms or rejects: abnormal_return;requires_review;low_liquidity; factor_gate_status != blocked_for_strategy_use; keep liquidity watch until tradability threshold is met,row_count >= min_required_rows (249/250; rows_needed=1),manual review confirms or rejects: abnormal_return;requires_review;low_liquidity,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,keep liquidity watch until tradability threshold is met,2026-05-18,False,True,False,False,True,"complete manual review, do not auto unblock",plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
159246,创业板人工智能ETF富国,blocked_manual_review,manual_review_required;exclude_from_candidate_pool,manual_review_required,requires_manual_review,P0_manual_review,row_count >= min_required_rows (201/250; rows_needed=49); manual review confirms or rejects: abnormal_return;requires_review; factor_gate_status != blocked_for_strategy_use,row_count >= min_required_rows (201/250; rows_needed=49),manual review confirms or rejects: abnormal_return;requires_review,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,,2026-07-24,False,True,False,False,True,"complete manual review, do not auto unblock",plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
159287,创业板综ETF博时,blocked_manual_review,manual_review_required;exclude_from_candidate_pool,manual_review_required,requires_manual_review,P0_manual_review,row_count >= min_required_rows (167/250; rows_needed=83); manual review confirms or rejects: abnormal_return;requires_review;low_liquidity; factor_gate_status != blocked_for_strategy_use; keep liquidity watch until tradability threshold is met,row_count >= min_required_rows (167/250; rows_needed=83),manual review confirms or rejects: abnormal_return;requires_review;low_liquidity,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,keep liquidity watch until tradability threshold is met,2026-09-10,False,True,False,False,True,"complete manual review, do not auto unblock",plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
159387,创业板新能源ETF国泰,blocked_manual_review,manual_review_required;exclude_from_candidate_pool,manual_review_required,requires_manual_review,P0_manual_review,row_count >= min_required_rows (223/250; rows_needed=27); manual review confirms or rejects: abnormal_return;requires_review; factor_gate_status != blocked_for_strategy_use,row_count >= min_required_rows (223/250; rows_needed=27),manual review confirms or rejects: abnormal_return;requires_review,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,,2026-06-24,False,True,False,False,True,"complete manual review, do not auto unblock",plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
560320,N食品ETF富国,blocked_manual_review,manual_review_required;exclude_from_candidate_pool,manual_review_required,requires_manual_review,P0_manual_review,row_count >= min_required_rows (1/250; rows_needed=249); manual review confirms or rejects: unknown_quality_finding;very_short_history; factor_gate_status != blocked_for_strategy_use,row_count >= min_required_rows (1/250; rows_needed=249),manual review confirms or rejects: unknown_quality_finding;very_short_history,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,,unknown,False,True,False,False,True,"complete manual review, do not auto unblock",plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
159007,养殖ETF华泰柏瑞,blocked_short_history,short_history;exclude_from_candidate_pool,wait_for_history,waiting,P1_wait_for_history,row_count >= min_required_rows (15/250; rows_needed=235); factor_gate_status != blocked_for_strategy_use,row_count >= min_required_rows (15/250; rows_needed=235),,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,,unknown,True,False,False,False,True,keep excluded and rerun candidate gate after minimum history is reached,plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
159008,证券ETF景顺,blocked_short_history,short_history;exclude_from_candidate_pool,wait_for_history,waiting,P1_wait_for_history,row_count >= min_required_rows (8/250; rows_needed=242); factor_gate_status != blocked_for_strategy_use,row_count >= min_required_rows (8/250; rows_needed=242),,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,,unknown,True,False,False,False,True,keep excluded and rerun candidate gate after minimum history is reached,plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
159009,创业板新能源ETF易方达,blocked_short_history,short_history;exclude_from_candidate_pool,wait_for_history,waiting,P1_wait_for_history,row_count >= min_required_rows (18/250; rows_needed=232); factor_gate_status != blocked_for_strategy_use; keep liquidity watch until tradability threshold is met,row_count >= min_required_rows (18/250; rows_needed=232),,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,keep liquidity watch until tradability threshold is met,unknown,True,False,False,False,True,keep excluded and rerun candidate gate after minimum history is reached,plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
159013,工业互联网ETF大成,blocked_short_history,short_history;exclude_from_candidate_pool,wait_for_history,waiting,P1_wait_for_history,row_count >= min_required_rows (8/250; rows_needed=242); factor_gate_status != blocked_for_strategy_use,row_count >= min_required_rows (8/250; rows_needed=242),,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,,unknown,True,False,False,False,True,keep excluded and rerun candidate gate after minimum history is reached,plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
159017,石油ETF工银,blocked_short_history,short_history;exclude_from_candidate_pool,wait_for_history,waiting,P1_wait_for_history,row_count >= min_required_rows (3/250; rows_needed=247); factor_gate_status != blocked_for_strategy_use; keep liquidity watch until tradability threshold is met,row_count >= min_required_rows (3/250; rows_needed=247),,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,keep liquidity watch until tradability threshold is met,unknown,True,False,False,False,True,keep excluded and rerun candidate gate after minimum history is reached,plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
