symbol,name,exchange,asset_class,category,tracking_index,listing_date,latest_date,avg_amount_20,data_rows,is_active,filter_reason,theme,sector,success,source,start_date,end_date,rows,missing_count,duplicate_count,status,failure_reason,local_latest_date,target_update_date
510300,沪深300ETF华泰柏瑞,SH,A股股票,宽基,沪深300,2019-01-02,2026-05-13,5214047274.95,1782,True,,宽基,沪深300,True,local_cache,2019-01-02,2026-05-13,1782,0,0,passed,,,
588000,科创50ETF华夏,SH,A股股票,宽基,科创50,2020-11-16,2026-05-13,4684467901.65,1329,True,,宽基,科创50,True,local_cache,2020-11-16,2026-05-13,1329,0,0,passed,,,
563360,A500ETF华泰柏瑞,SH,A股股票,宽基,A500,2024-10-15,2026-05-12,6121176052.85,381,True,,宽基,A500,True,local_cache,2024-10-15,2026-05-12,381,0,0,passed,,,
159352,A500ETF南方,SZ,A股股票,宽基,A500,2024-10-15,2026-05-12,5511698677.25,381,True,,宽基,A500,True,local_cache,2024-10-15,2026-05-12,381,0,0,passed,,,
588200,科创芯片ETF嘉实,SH,A股股票,宽基,科创芯片,2022-10-26,2026-05-12,3529295936.95,857,True,,宽基,科创芯片,True,local_cache,2022-10-26,2026-05-12,857,0,0,warning,,,
159338,中证A500ETF国泰,SZ,A股股票,宽基,中证A500,2024-10-15,2026-05-12,5278516749.65,381,True,,宽基,中证A500,True,local_cache,2024-10-15,2026-05-12,381,0,0,passed,,,
159915,创业板ETF易方达,SZ,A股股票,宽基,创业板,2019-01-02,2026-05-13,4836685739.05,1781,True,,宽基,创业板,True,local_cache,2019-01-02,2026-05-13,1781,0,0,warning,,,
510500,中证500ETF南方,SH,A股股票,宽基,中证500,2019-01-02,2026-05-13,5677801497.55,1782,True,,宽基,中证500,True,local_cache,2019-01-02,2026-05-13,1782,0,0,passed,,,
510050,上证50ETF华夏,SH,A股股票,宽基,上证50,2019-01-02,2026-05-12,3210978558.75,1781,True,,宽基,上证50,True,local_cache,2019-01-02,2026-05-12,1781,0,0,passed,,,
510310,沪深300ETF易方达,SH,A股股票,宽基,沪深300,2019-01-02,2026-05-12,1706501060.05,1781,True,,宽基,沪深300,True,local_cache,2019-01-02,2026-05-12,1781,0,0,warning,,,
159919,沪深300ETF嘉实,SZ,A股股票,宽基,沪深300,2019-01-02,2026-05-12,1705597912.1,1780,True,,宽基,沪深300,True,local_cache,2019-01-02,2026-05-12,1780,0,0,warning,,,
512050,A500ETF华夏,SH,A股股票,宽基,A500,2024-11-15,2026-05-12,4002278951.7,358,True,,宽基,A500,True,local_cache,2024-11-15,2026-05-12,358,0,0,passed,,,
515880,通信ETF国泰,SH,A股股票,行业主题,通信,2019-09-06,2026-05-12,2549057390.0,1614,True,,行业主题,通信,True,local_cache,2019-09-06,2026-05-12,1614,0,0,warning,,,
159516,半导体设备ETF国泰,SZ,A股股票,行业主题,半导体设备,2023-07-27,2026-05-12,1657351051.95,673,True,,行业主题,半导体设备,True,local_cache,2023-07-27,2026-05-12,673,0,0,warning,,,
