symbol,name,category,sub_category,failure_type,primary_failure_type,secondary_failure_type,row_count,min_required_rows,first_date,last_date,latest_expected_date,end_date_gap_days,history_status,cache_status,liquidity_status,price_quality_status,metadata_status,strategy_eligibility,remediation_priority,recommended_action,requires_refresh,requires_manual_review,exclude_from_candidate_pool,reason,notes
159231,通用航空ETF华宝,unknown,指数型-股票,insufficient_rows;abnormal_return;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;abnormal_return;zero_or_low_liquidity;low_liquidity,249,250,2025-04-29,2026-05-12,2026-05-15,3,short_history,fresh,low_liquidity,requires_review,warning,blocked_manual_review,P0_manual_review,manual price-quality review before any strategy use or refresh acceptance,False,True,True,too few rows: 249 < 250; daily close return exceeds 20% on 1 day(s); avg_amount_20 11017930.35 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate; abnormal return may reflect adjustment/source issues and requires manual confirmation
159246,创业板人工智能ETF富国,broad_based,指数型-股票,insufficient_rows;abnormal_return,new_etf_short_history,insufficient_rows;abnormal_return,201,250,2025-07-10,2026-05-12,2026-05-15,3,short_history,fresh,ok,requires_review,warning,blocked_manual_review,P0_manual_review,manual price-quality review before any strategy use or refresh acceptance,False,True,True,too few rows: 201 < 250; daily close return exceeds 20% on 1 day(s),short history is not a low score; it blocks strategy eligibility until enough rows accumulate; abnormal return may reflect adjustment/source issues and requires manual confirmation
159287,创业板综ETF博时,broad_based,指数型-股票,insufficient_rows;abnormal_return;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;abnormal_return;zero_or_low_liquidity;low_liquidity,167,250,2025-08-27,2026-05-12,2026-05-15,3,short_history,fresh,low_liquidity,requires_review,warning,blocked_manual_review,P0_manual_review,manual price-quality review before any strategy use or refresh acceptance,False,True,True,too few rows: 167 < 250; daily close return exceeds 20% on 1 day(s); avg_amount_20 14918498.20 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate; abnormal return may reflect adjustment/source issues and requires manual confirmation
159387,创业板新能源ETF国泰,broad_based,指数型-股票,insufficient_rows;abnormal_return,new_etf_short_history,insufficient_rows;abnormal_return,223,250,2025-06-10,2026-05-12,2026-05-15,3,short_history,fresh,ok,requires_review,warning,blocked_manual_review,P0_manual_review,manual price-quality review before any strategy use or refresh acceptance,False,True,True,too few rows: 223 < 250; daily close return exceeds 20% on 1 day(s),short history is not a low score; it blocks strategy eligibility until enough rows accumulate; abnormal return may reflect adjustment/source issues and requires manual confirmation
560320,N食品ETF富国,unknown,指数型-股票,insufficient_rows;unknown,new_etf_short_history,insufficient_rows;unknown,1,250,2026-05-13,2026-05-13,2026-05-15,2,very_short_history,fresh,ok,ok,warning,blocked_manual_review,P0_manual_review,manual price-quality review before any strategy use or refresh acceptance,False,True,True,too few rows: 1 < 250; close equals high at an unusually high ratio,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159007,养殖ETF华泰柏瑞,industry,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,15,250,2026-04-17,2026-05-12,2026-05-15,3,very_short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 15 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159008,证券ETF景顺,industry,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,8,250,2026-04-28,2026-05-12,2026-05-15,3,very_short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 8 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159009,创业板新能源ETF易方达,broad_based,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,18,250,2026-04-14,2026-05-12,2026-05-15,3,very_short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 18 < 250; avg_amount_20 17690961.50 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159013,工业互联网ETF大成,unknown,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,8,250,2026-04-28,2026-05-12,2026-05-15,3,very_short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 8 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159017,石油ETF工银,industry,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,3,250,2026-05-08,2026-05-12,2026-05-15,3,very_short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 3 < 250; avg_amount_20 16805077.00 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159018,石油ETF广发,industry,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,9,250,2026-04-27,2026-05-12,2026-05-15,3,very_short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 9 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159019,石油ETF华宝,industry,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,11,250,2026-04-23,2026-05-12,2026-05-15,3,very_short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 11 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159020,养殖ETF易方达,industry,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,9,250,2026-04-27,2026-05-12,2026-05-15,3,very_short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 9 < 250; avg_amount_20 19420947.78 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159022,科创创业人工智能ETF富国,theme,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,10,250,2026-04-24,2026-05-12,2026-05-15,3,very_short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 10 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159026,石油ETF南方,industry,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,10,250,2026-04-24,2026-05-12,2026-05-15,3,very_short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 10 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159030,粮食ETF华夏,unknown,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,1,250,2026-05-12,2026-05-12,2026-05-15,3,very_short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 1 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159032,工业有色ETF易方达,industry,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,1,250,2026-05-13,2026-05-13,2026-05-15,2,very_short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 1 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159100,巴西ETF华夏,unknown,指数型-海外股票,insufficient_rows,new_etf_short_history,insufficient_rows,117,250,2025-11-13,2026-05-12,2026-05-15,3,short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 117 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159103,金融科技ETF汇添富,unknown,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,157,250,2025-09-10,2026-05-12,2026-05-15,3,short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 157 < 250; avg_amount_20 6485859.20 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
