symbol,name,tracking_index_code,tracking_index_name,benchmark_available,benchmark_status,tracking_error,tracking_error_status,relative_return_20d,relative_return_60d,relative_return_120d,benchmark_return_20d,benchmark_return_60d,benchmark_return_120d,etf_return_20d,etf_return_60d,etf_return_120d,overlap_days,data_start_date,data_end_date,benchmark_start_date,benchmark_end_date,computation_status,validation_status,failure_reason,notes
159915,创业板ETF易方达,399006,创业板指,False,no_index_cache,,no_index_cache,,,,,,,0.1777713122,0.2277828329,0.2818239392,,2019-01-02,2026-05-13,,,not_computable,no_index_cache,missing index cache: data\index_cache\399006.csv; NAV/IOPV data is not available; price-only data cannot produce discount/premium,not in small-scope 007B; do not fill fake benchmark metrics
159928,消费ETF汇添富,000932,中证主要消费,True,ok,0.2909644174,ok,0.0001244814,0.0012250386,0.0059929643,-0.0563630843,-0.1102600323,-0.1703815459,-0.0294511379,-0.0740740741,-0.1180048662,1780,2019-01-02,2026-05-12,2019-01-01,2026-05-15,computed_valid,computed_valid,,"small_scope_007b_only; research_report_only; not connected to factor_score, candidate_gate, strategy, backtest, UI, or compare_signal"
510300,沪深300ETF华泰柏瑞,000300,沪深300,True,ok,0.033885658,ok,0.0027587942,0.0020840002,-0.0209115303,0.033673808,0.0465134809,0.0459931424,0.0807841448,0.0658593584,0.0436862908,1781,2019-01-02,2026-05-13,2019-01-01,2026-05-15,computed_valid,computed_valid,,"small_scope_007b_only; research_report_only; not connected to factor_score, candidate_gate, strategy, backtest, UI, or compare_signal"
510500,中证500ETF南方,000905,中证500,True,ok,0.0589507584,ok,0.0021536411,-0.0005741148,-0.0048039039,0.0553583637,0.047865256,0.1785234529,0.121219664,0.0740343348,0.2095864662,1781,2019-01-02,2026-05-13,2019-01-01,2026-05-15,computed_valid,computed_valid,,"small_scope_007b_only; research_report_only; not connected to factor_score, candidate_gate, strategy, backtest, UI, or compare_signal"
510880,红利ETF华泰柏瑞,000015,上证红利,True,ok,0.0577870922,ok,0.0016889204,0.0010612681,-0.0402811117,-0.0024578423,0.0297734752,0.0003115886,0.0080795525,0.0298412698,-0.0333730632,1781,2019-01-02,2026-05-13,2019-01-01,2026-05-15,computed_valid,computed_valid,,"small_scope_007b_only; research_report_only; not connected to factor_score, candidate_gate, strategy, backtest, UI, or compare_signal"
512100,中证1000ETF南方,000852,中证1000,True,ok,0.6603904798,ok,0.0026959684,0.0033060679,-0.0109641444,0.0660412339,0.0783797446,0.1597928505,0.1163670766,0.077953715,0.1587561375,1779,2019-01-02,2026-05-12,2019-01-01,2026-05-15,computed_valid,computed_valid,,"small_scope_007b_only; research_report_only; not connected to factor_score, candidate_gate, strategy, backtest, UI, or compare_signal"
512480,半导体ETF国联安,931865,中证全指半导体产品与设备,False,no_index_cache,,no_index_cache,,,,,,,0.3218015666,0.2332521315,0.386036961,,2019-06-12,2026-05-12,,,not_computable,no_index_cache,missing index cache: data\index_cache\931865.csv; NAV/IOPV data is not available; price-only data cannot produce discount/premium,not in small-scope 007B; do not fill fake benchmark metrics
512880,证券ETF国泰,399975,中证全指证券公司,True,ok,0.032053141,ok,-4.66818e-05,-0.0005218588,0.0010048245,-0.0290043974,-0.1150906495,-0.1523068435,0.0252808989,-0.080604534,-0.130952381,1781,2019-01-02,2026-05-13,2019-01-01,2026-05-15,computed_valid,computed_valid,,"small_scope_007b_only; research_report_only; not connected to factor_score, candidate_gate, strategy, backtest, UI, or compare_signal"
588000,科创50ETF华夏,000688,科创50,False,no_index_cache,,no_index_cache,,,,,,,0.2978427279,0.2181580666,0.2618403248,,2020-11-16,2026-05-13,,,not_computable,no_index_cache,missing index cache: data\index_cache\000688.csv; NAV/IOPV data is not available; price-only data cannot produce discount/premium,not in small-scope 007B; do not fill fake benchmark metrics
159001,货币ETF易方达,unable_to_confirm,unable_to_confirm,False,missing_benchmark,,missing_benchmark,,,,,,,1e-05,1e-05,1e-05,,2019-01-02,2026-05-12,,,not_computable,missing_benchmark,no confirmed benchmark mapping; NAV/IOPV data is not available; price-only data cannot produce discount/premium,not in small-scope 007B; do not fill fake benchmark metrics
159003,招商快线ETF,unable_to_confirm,unable_to_confirm,False,missing_benchmark,,missing_etf_cache,,,,,,,,,,,,,,,not_computable,missing_benchmark,missing ETF cache: data\cache\159003.csv; no confirmed benchmark mapping; NAV/IOPV data is not available; price-only data cannot produce discount/premium,not in small-scope 007B; do not fill fake benchmark metrics
159005,快钱ETF汇添富,unable_to_confirm,unable_to_confirm,False,missing_benchmark,,missing_etf_cache,,,,,,,,,,,,,,,not_computable,missing_benchmark,missing ETF cache: data\cache\159005.csv; no confirmed benchmark mapping; NAV/IOPV data is not available; price-only data cannot produce discount/premium,not in small-scope 007B; do not fill fake benchmark metrics
159007,养殖ETF华泰柏瑞,unable_to_confirm,unable_to_confirm,False,missing_benchmark,,missing_benchmark,,,,,,,,,,,2026-04-17,2026-05-12,,,not_computable,missing_benchmark,no confirmed benchmark mapping; NAV/IOPV data is not available; price-only data cannot produce discount/premium,not in small-scope 007B; do not fill fake benchmark metrics
