symbol,name,exchange,asset_class,category,sub_category,fund_company,inception_date,tracking_index_name,tracking_index_code,fund_size,fund_size_date,management_fee,custody_fee,latest_amount,latest_price,is_cross_border,is_commodity,is_bond,is_money_market,is_broad_based,is_industry,is_theme,is_dividend,is_sci_tech,is_chinext,inferred_category,inferred_tags,metadata_source,metadata_updated_at,field_completeness,missing_fields,data_quality_status,notes
159001,货币ETF易方达,SZ,unknown,ETF,货币型-普通货币,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,378540428.134,100.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,money_market,money_market,akshare.fund_etf_spot_em;akshare.fund_name_em,2026-05-14T18:26:53+08:00,0.3667,asset_class;fund_company;inception_date;tracking_index_name;tracking_index_code;fund_size;fund_size_date;management_fee;custody_fee;is_cross_border;is_commodity;is_bond;is_money_market;is_broad_based;is_industry;is_theme;is_dividend;is_sci_tech;is_chinext,warning,real fields come only from source columns; inferred fields are name-derived and not authoritative
159003,招商快线ETF,SZ,unknown,ETF,货币型-普通货币,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,19561548.184,100.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,money_market,money_market,akshare.fund_etf_spot_em;akshare.fund_name_em,2026-05-14T18:26:53+08:00,0.3667,asset_class;fund_company;inception_date;tracking_index_name;tracking_index_code;fund_size;fund_size_date;management_fee;custody_fee;is_cross_border;is_commodity;is_bond;is_money_market;is_broad_based;is_industry;is_theme;is_dividend;is_sci_tech;is_chinext,warning,real fields come only from source columns; inferred fields are name-derived and not authoritative
159005,快钱ETF汇添富,SZ,unknown,ETF,货币型-普通货币,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,10091494.1,100.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,money_market,money_market,akshare.fund_etf_spot_em;akshare.fund_name_em,2026-05-14T18:26:53+08:00,0.3667,asset_class;fund_company;inception_date;tracking_index_name;tracking_index_code;fund_size;fund_size_date;management_fee;custody_fee;is_cross_border;is_commodity;is_bond;is_money_market;is_broad_based;is_industry;is_theme;is_dividend;is_sci_tech;is_chinext,warning,real fields come only from source columns; inferred fields are name-derived and not authoritative
159007,养殖ETF华泰柏瑞,SZ,unknown,ETF,指数型-股票,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,21776467.543,0.96,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,industry,industry,akshare.fund_etf_spot_em;akshare.fund_name_em,2026-05-14T18:26:53+08:00,0.3667,asset_class;fund_company;inception_date;tracking_index_name;tracking_index_code;fund_size;fund_size_date;management_fee;custody_fee;is_cross_border;is_commodity;is_bond;is_money_market;is_broad_based;is_industry;is_theme;is_dividend;is_sci_tech;is_chinext,warning,real fields come only from source columns; inferred fields are name-derived and not authoritative
159008,证券ETF景顺,SZ,unknown,ETF,指数型-股票,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,11897709.439,1.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,industry,industry,akshare.fund_etf_spot_em;akshare.fund_name_em,2026-05-14T18:26:53+08:00,0.3667,asset_class;fund_company;inception_date;tracking_index_name;tracking_index_code;fund_size;fund_size_date;management_fee;custody_fee;is_cross_border;is_commodity;is_bond;is_money_market;is_broad_based;is_industry;is_theme;is_dividend;is_sci_tech;is_chinext,warning,real fields come only from source columns; inferred fields are name-derived and not authoritative
159009,创业板新能源ETF易方达,SZ,unknown,ETF,指数型-股票,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,12738127.339,1.117,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,broad_based,broad_based;industry;chinext,akshare.fund_etf_spot_em;akshare.fund_name_em,2026-05-14T18:26:53+08:00,0.3667,asset_class;fund_company;inception_date;tracking_index_name;tracking_index_code;fund_size;fund_size_date;management_fee;custody_fee;is_cross_border;is_commodity;is_bond;is_money_market;is_broad_based;is_industry;is_theme;is_dividend;is_sci_tech;is_chinext,warning,real fields come only from source columns; inferred fields are name-derived and not authoritative
159010,港股通科技ETF博时,SZ,unknown,ETF,指数型-股票,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,131189079.903,0.993,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,cross_border,cross_border;sci_tech,akshare.fund_etf_spot_em;akshare.fund_name_em,2026-05-14T18:26:53+08:00,0.3667,asset_class;fund_company;inception_date;tracking_index_name;tracking_index_code;fund_size;fund_size_date;management_fee;custody_fee;is_cross_border;is_commodity;is_bond;is_money_market;is_broad_based;is_industry;is_theme;is_dividend;is_sci_tech;is_chinext,warning,real fields come only from source columns; inferred fields are name-derived and not authoritative
159013,工业互联网ETF大成,SZ,unknown,ETF,指数型-股票,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,18100330.254,1.078,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,akshare.fund_etf_spot_em;akshare.fund_name_em,2026-05-14T18:26:53+08:00,0.3,asset_class;fund_company;inception_date;tracking_index_name;tracking_index_code;fund_size;fund_size_date;management_fee;custody_fee;is_cross_border;is_commodity;is_bond;is_money_market;is_broad_based;is_industry;is_theme;is_dividend;is_sci_tech;is_chinext;inferred_category;inferred_tags,warning,real fields come only from source columns; inferred fields are name-derived and not authoritative
159015,恒生港股通科技ETF国联,SZ,unknown,ETF,指数型-股票,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,49018236.602,0.976,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,cross_border,cross_border;sci_tech,akshare.fund_etf_spot_em;akshare.fund_name_em,2026-05-14T18:26:53+08:00,0.3667,asset_class;fund_company;inception_date;tracking_index_name;tracking_index_code;fund_size;fund_size_date;management_fee;custody_fee;is_cross_border;is_commodity;is_bond;is_money_market;is_broad_based;is_industry;is_theme;is_dividend;is_sci_tech;is_chinext,warning,real fields come only from source columns; inferred fields are name-derived and not authoritative
159016,证券ETF广发,SZ,unknown,ETF,指数型-股票,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,unable_to_confirm,116532457.469,0.988,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,industry,industry,akshare.fund_etf_spot_em;akshare.fund_name_em,2026-05-14T18:26:53+08:00,0.3667,asset_class;fund_company;inception_date;tracking_index_name;tracking_index_code;fund_size;fund_size_date;management_fee;custody_fee;is_cross_border;is_commodity;is_bond;is_money_market;is_broad_based;is_industry;is_theme;is_dividend;is_sci_tech;is_chinext,warning,real fields come only from source columns; inferred fields are name-derived and not authoritative
