symbol,name,category,sub_category,tracking_index_code,tracking_index_name,benchmark_available,benchmark_status,metric_status,tracking_error,tracking_error_status,relative_return_20d,relative_return_60d,relative_return_120d,benchmark_return_20d,benchmark_return_60d,benchmark_return_120d,etf_return_20d,etf_return_60d,etf_return_120d,discount_premium,discount_premium_status,fund_size,management_fee,custody_fee,latest_amount,computed_at,data_start_date,data_end_date,benchmark_start_date,benchmark_end_date,failure_reason,notes
159915,创业板ETF易方达,ETF,指数型-股票,399006,创业板指,False,no_index_cache,unable_to_compute,,no_index_cache,,,,,,,0.1777713122,0.2277828329,0.2818239392,,source_unavailable,unable_to_confirm,unable_to_confirm,unable_to_confirm,5906571388.606,2026-05-14T22:43:01+08:00,2019-01-02,2026-05-13,,,missing index cache: data\index_cache\399006.csv; NAV/IOPV data is not available; price-only data cannot produce discount/premium,benchmark metrics require confirmed mapping and real index cache; ETF returns use ETF cache only
159928,消费ETF汇添富,ETF,指数型-股票,000932,中证主要消费,False,no_index_cache,unable_to_compute,,no_index_cache,,,,,,,-0.0294511379,-0.0740740741,-0.1180048662,,source_unavailable,unable_to_confirm,unable_to_confirm,unable_to_confirm,438236037.24,2026-05-14T22:43:01+08:00,2019-01-02,2026-05-12,,,missing index cache: data\index_cache\000932.csv; NAV/IOPV data is not available; price-only data cannot produce discount/premium,benchmark metrics require confirmed mapping and real index cache; ETF returns use ETF cache only
510300,沪深300ETF华泰柏瑞,ETF,指数型-股票,000300,沪深300,False,no_index_cache,unable_to_compute,,no_index_cache,,,,,,,0.0807841448,0.0658593584,0.0436862908,,source_unavailable,unable_to_confirm,unable_to_confirm,unable_to_confirm,5118663487.0,2026-05-14T22:43:01+08:00,2019-01-02,2026-05-13,,,missing index cache: data\index_cache\000300.csv; NAV/IOPV data is not available; price-only data cannot produce discount/premium,benchmark metrics require confirmed mapping and real index cache; ETF returns use ETF cache only
510500,中证500ETF南方,ETF,指数型-股票,000905,中证500,False,no_index_cache,unable_to_compute,,no_index_cache,,,,,,,0.121219664,0.0740343348,0.2095864662,,source_unavailable,unable_to_confirm,unable_to_confirm,unable_to_confirm,7900399322.0,2026-05-14T22:43:01+08:00,2019-01-02,2026-05-13,,,missing index cache: data\index_cache\000905.csv; NAV/IOPV data is not available; price-only data cannot produce discount/premium,benchmark metrics require confirmed mapping and real index cache; ETF returns use ETF cache only
510880,红利ETF华泰柏瑞,ETF,指数型-股票,000015,上证红利,False,no_index_cache,unable_to_compute,,no_index_cache,,,,,,,0.0080795525,0.0298412698,-0.0333730632,,source_unavailable,unable_to_confirm,unable_to_confirm,unable_to_confirm,330506928.0,2026-05-14T22:43:01+08:00,2019-01-02,2026-05-13,,,missing index cache: data\index_cache\000015.csv; NAV/IOPV data is not available; price-only data cannot produce discount/premium,benchmark metrics require confirmed mapping and real index cache; ETF returns use ETF cache only
512100,中证1000ETF南方,ETF,指数型-股票,000852,中证1000,False,no_index_cache,unable_to_compute,,no_index_cache,,,,,,,0.1163670766,0.077953715,0.1587561375,,source_unavailable,unable_to_confirm,unable_to_confirm,unable_to_confirm,2238207387.0,2026-05-14T22:43:01+08:00,2019-01-02,2026-05-12,,,missing index cache: data\index_cache\000852.csv; NAV/IOPV data is not available; price-only data cannot produce discount/premium,benchmark metrics require confirmed mapping and real index cache; ETF returns use ETF cache only
512480,半导体ETF国联安,ETF,指数型-股票,931865,中证全指半导体产品与设备,False,no_index_cache,unable_to_compute,,no_index_cache,,,,,,,0.3218015666,0.2332521315,0.386036961,,source_unavailable,unable_to_confirm,unable_to_confirm,unable_to_confirm,1824684056.0,2026-05-14T22:43:01+08:00,2019-06-12,2026-05-12,,,missing index cache: data\index_cache\931865.csv; NAV/IOPV data is not available; price-only data cannot produce discount/premium,benchmark metrics require confirmed mapping and real index cache; ETF returns use ETF cache only
512880,证券ETF国泰,ETF,指数型-股票,399975,中证全指证券公司,False,no_index_cache,unable_to_compute,,no_index_cache,,,,,,,0.0252808989,-0.080604534,-0.130952381,,source_unavailable,unable_to_confirm,unable_to_confirm,unable_to_confirm,2173890535.0,2026-05-14T22:43:01+08:00,2019-01-02,2026-05-13,,,missing index cache: data\index_cache\399975.csv; NAV/IOPV data is not available; price-only data cannot produce discount/premium,benchmark metrics require confirmed mapping and real index cache; ETF returns use ETF cache only
588000,科创50ETF华夏,ETF,指数型-股票,000688,科创50,False,no_index_cache,unable_to_compute,,no_index_cache,,,,,,,0.2978427279,0.2181580666,0.2618403248,,source_unavailable,unable_to_confirm,unable_to_confirm,unable_to_confirm,6412216624.0,2026-05-14T22:43:01+08:00,2020-11-16,2026-05-13,,,missing index cache: data\index_cache\000688.csv; NAV/IOPV data is not available; price-only data cannot produce discount/premium,benchmark metrics require confirmed mapping and real index cache; ETF returns use ETF cache only
159001,货币ETF易方达,ETF,货币型-普通货币,unable_to_confirm,unable_to_confirm,False,missing_benchmark,unable_to_compute,,missing_benchmark,,,,,,,1e-05,1e-05,1e-05,,source_unavailable,unable_to_confirm,unable_to_confirm,unable_to_confirm,378540428.134,2026-05-14T22:43:01+08:00,2019-01-02,2026-05-12,,,no confirmed benchmark mapping; NAV/IOPV data is not available; price-only data cannot produce discount/premium,benchmark metrics require confirmed mapping and real index cache; ETF returns use ETF cache only
