symbol,name,exchange,spot_amount,spot_date,spot_updated_at,asset_class,category,tracking_index,listing_date,latest_date,avg_amount_20,data_rows,is_active,filter_reason,universe_source,fetched_at
159007,养殖ETF华泰柏瑞,SZ,20494849.951,2026-05-13,2026-05-13 15:34:00+08:00,A股股票,行业主题,养殖,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159008,证券ETF景顺,SZ,11776678.227,2026-05-13,2026-05-13 15:34:54+08:00,A股股票,行业主题,证券景顺,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159009,创业板新能源ETF易方达,SZ,7042569.01,2026-05-13,2026-05-13 15:34:54+08:00,A股股票,宽基,创业板新能源,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159013,工业互联网ETF大成,SZ,19044676.441,2026-05-13,2026-05-13 15:34:57+08:00,A股股票,行业主题,工业互联网大成,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159017,石油ETF工银,SZ,6447055.096,2026-05-13,2026-05-13 15:34:57+08:00,A股股票,行业主题,石油工银,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159018,石油ETF广发,SZ,2509698.308,2026-05-13,2026-05-13 15:34:00+08:00,A股股票,行业主题,石油,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159019,石油ETF华宝,SZ,12466500.426,2026-05-13,2026-05-13 15:34:00+08:00,A股股票,行业主题,石油,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159020,养殖ETF易方达,SZ,5860810.012,2026-05-13,2026-05-13 15:34:03+08:00,A股股票,行业主题,养殖,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159022,科创创业人工智能ETF富国,SZ,32088681.963,2026-05-13,2026-05-13 15:34:03+08:00,A股股票,宽基,科创创业人工智能,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159026,石油ETF南方,SZ,6195622.492,2026-05-13,2026-05-13 15:34:00+08:00,A股股票,行业主题,石油,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159030,粮食ETF华夏,SZ,10522615.489,2026-05-13,2026-05-13 15:34:06+08:00,A股股票,行业主题,粮食,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159032,工业有色ETF易方达,SZ,103220796.761,2026-05-13,2026-05-13 15:34:09+08:00,A股股票,行业主题,工业有色,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159100,巴西ETF华夏,SZ,33219945.08,2026-05-13,2026-05-13 15:34:03+08:00,A股股票,行业主题,巴西,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159103,金融科技ETF汇添富,SZ,6545418.214,2026-05-13,2026-05-13 15:34:00+08:00,A股股票,行业主题,金融科技,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159106,民企300ETF前海开源,SZ,4090481.745,2026-05-13,2026-05-13 15:34:03+08:00,A股股票,行业主题,民企300前海开源,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159107,创业板软件ETF富国,SZ,68076523.7,2026-05-13,2026-05-13 15:34:06+08:00,A股股票,宽基,创业板软件,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159108,工业软件ETF博时,SZ,8553332.471,2026-05-13,2026-05-13 15:34:09+08:00,A股股票,行业主题,工业软件,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159122,创业板新能源ETF富国,SZ,4777281.666,2026-05-13,2026-05-13 15:34:21+08:00,A股股票,宽基,创业板新能源,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159123,光伏ETF嘉实,SZ,12831716.147,2026-05-13,2026-05-13 15:34:15+08:00,A股股票,行业主题,光伏,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159129,化工ETF嘉实,SZ,32713284.753,2026-05-13,2026-05-13 15:34:27+08:00,A股股票,行业主题,化工,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159133,化工ETF天弘,SZ,44638132.294,2026-05-13,2026-05-13 15:34:15+08:00,A股股票,行业主题,化工,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159136,A50ETF广发,SZ,4612400.1,2026-05-13,2026-05-13 15:34:18+08:00,A股股票,行业主题,A50,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159138,工程机械ETF易方达,SZ,19891544.87,2026-05-13,2026-05-13 15:34:18+08:00,A股股票,行业主题,工程机械,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159139,科创创业人工智能ETF华泰柏瑞,SZ,46424896.825,2026-05-13,2026-05-13 15:34:33+08:00,A股股票,宽基,科创创业人工智能,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159140,科创创业人工智能ETF易方达,SZ,120598932.613,2026-05-13,2026-05-13 15:34:21+08:00,A股股票,宽基,科创创业人工智能,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159141,科创创业人工智能ETF永赢,SZ,68569452.482,2026-05-13,2026-05-13 15:34:36+08:00,A股股票,宽基,科创创业人工智能永赢,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159142,科创创业人工智能ETF景顺,SZ,78032163.96,2026-05-13,2026-05-13 15:34:18+08:00,A股股票,宽基,科创创业人工智能景顺,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159145,工业软件ETF广发,SZ,4421132.898,2026-05-13,2026-05-13 15:34:24+08:00,A股股票,行业主题,工业软件,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159146,电力ETF华宝,SZ,50388646.02,2026-05-13,2026-05-13 15:34:27+08:00,A股股票,行业主题,电力,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159147,电池ETF南方,SZ,29320482.724,2026-05-13,2026-05-13 15:34:39+08:00,A股股票,行业主题,电池,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159148,石油ETF富国,SZ,14652874.4,2026-05-13,2026-05-13 15:34:33+08:00,A股股票,行业主题,石油,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159149,创业板新能源ETF工银,SZ,16258582.231,2026-05-13,2026-05-13 15:34:30+08:00,A股股票,宽基,创业板新能源工银,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159150,深证50ETF易方达,SZ,6641494.7,2026-05-13,2026-05-13 15:34:33+08:00,A股股票,宽基,深证50,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159151,食品ETF华夏,SZ,12958687.983,2026-05-13,2026-05-13 15:34:24+08:00,A股股票,行业主题,食品,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159153,消费电子ETF鹏华,SZ,14780957.905,2026-05-13,2026-05-13 15:34:42+08:00,A股股票,行业主题,消费电子鹏华,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159155,电池ETF大成,SZ,24660140.711,2026-05-13,2026-05-13 15:34:24+08:00,A股股票,行业主题,电池大成,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159156,电池ETF万家,SZ,8256051.224,2026-05-13,2026-05-13 15:34:27+08:00,A股股票,行业主题,电池万家,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159157,有色金属ETF天弘,SZ,157045235.162,2026-05-13,2026-05-13 15:34:36+08:00,A股股票,行业主题,有色金属,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159158,电力ETF景顺,SZ,69150212.383,2026-05-13,2026-05-13 15:34:36+08:00,A股股票,行业主题,电力景顺,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159159,公用事业ETF国投瑞银,SZ,12939783.739,2026-05-13,2026-05-13 15:34:39+08:00,A股股票,行业主题,公用事业国投瑞银,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159160,电池ETF东财,SZ,25661936.185,2026-05-13,2026-05-13 15:34:30+08:00,A股股票,行业主题,电池东财,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159162,工业有色ETF鹏华,SZ,22177253.474,2026-05-13,2026-05-13 15:34:27+08:00,A股股票,行业主题,工业有色鹏华,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159163,有色ETF泰康,SZ,12902687.276,2026-05-13,2026-05-13 15:34:42+08:00,A股股票,行业主题,有色泰康,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159165,养殖ETF永赢,SZ,9651227.125,2026-05-13,2026-05-13 15:34:30+08:00,A股股票,行业主题,养殖永赢,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159168,有色ETF富国,SZ,27927250.794,2026-05-13,2026-05-13 15:34:45+08:00,A股股票,行业主题,有色,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159171,工业有色ETF博时,SZ,8221156.524,2026-05-13,2026-05-13 15:34:33+08:00,A股股票,行业主题,工业有色,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159172,养殖ETF汇添富,SZ,21103412.844,2026-05-13,2026-05-13 15:34:39+08:00,A股股票,行业主题,养殖,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159173,农牧ETF南方,SZ,8839907.5,2026-05-13,2026-05-13 15:34:48+08:00,A股股票,行业主题,农牧,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159175,电池ETF易方达,SZ,30796201.145,2026-05-13,2026-05-13 15:34:36+08:00,A股股票,行业主题,电池,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159176,家电ETF华宝,SZ,14387639.076,2026-05-13,2026-05-13 15:34:51+08:00,A股股票,行业主题,家电,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159177,工程机械ETF鹏华,SZ,3254642.15,2026-05-13,2026-05-13 15:34:54+08:00,A股股票,行业主题,工程机械鹏华,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159178,消费电子ETF汇添富,SZ,18487955.284,2026-05-13,2026-05-13 15:34:57+08:00,A股股票,行业主题,消费电子,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159180,软件ETF银华,SZ,7322804.414,2026-05-13,2026-05-13 15:34:42+08:00,A股股票,行业主题,软件,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159181,石油ETF易方达,SZ,16862957.865,2026-05-13,2026-05-13 15:34:51+08:00,A股股票,行业主题,石油,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159182,家电ETF南方,SZ,8918344.811,2026-05-13,2026-05-13 15:34:39+08:00,A股股票,行业主题,家电,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159183,新能源车ETF招商,SZ,10765354.577,2026-05-13,2026-05-13 15:34:00+08:00,A股股票,行业主题,新能源车招商,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159187,创业板新能源ETF景顺,SZ,15853234.168,2026-05-13,2026-05-13 15:34:54+08:00,A股股票,宽基,创业板新能源景顺,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
159188,红利100ETF景顺,SZ,4752128.86,2026-05-13,2026-05-13 15:34:57+08:00,A股股票,风格,红利100景顺,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
