symbol,name,factor_name,raw_value,normalized_value,weight,direction,weighted_score,factor_status,missing_policy,source,reason
159001,货币ETF易方达,momentum_20d,,,0.3,higher_better,,source_unavailable,skip,strategy_signal,source unavailable: strategy_signal
159001,货币ETF易方达,momentum_60d,,,0.45,higher_better,,source_unavailable,skip,strategy_signal,source unavailable: strategy_signal
159001,货币ETF易方达,momentum_120d,,,0.25,higher_better,,source_unavailable,skip,strategy_signal,source unavailable: strategy_signal
159001,货币ETF易方达,volatility_20d,,,0.5,lower_better,,source_unavailable,skip,strategy_signal,source unavailable: strategy_signal
159001,货币ETF易方达,max_drawdown_60d,,,0.2,higher_better,,source_unavailable,skip,strategy_signal,source unavailable: strategy_signal
159001,货币ETF易方达,avg_amount_20,,,0.15,higher_better,,source_unavailable,skip,strategy_signal,source unavailable: strategy_signal
159001,货币ETF易方达,data_completeness,,,0.15,higher_better,,source_unavailable,skip,strategy_signal,source unavailable: strategy_signal
159001,货币ETF易方达,tracking_error,,,0.2,lower_better,,source_unavailable,skip,etf_metrics,tracking_error_status=missing_benchmark
159001,货币ETF易方达,relative_return_60d,,,0.2,higher_better,,source_unavailable,skip,etf_metrics,benchmark_status=missing_benchmark
159001,货币ETF易方达,fund_size,,,0.1,higher_better,,disabled,skip,etf_metadata,factor disabled by config
159001,货币ETF易方达,management_fee,,,0.1,lower_better,,disabled,skip,etf_metadata,factor disabled by config
159001,货币ETF易方达,discount_premium,,,0.1,lower_better,,source_unavailable,skip,etf_metrics,discount_premium_status=source_unavailable
159003,招商快线ETF,momentum_20d,,,0.3,higher_better,,source_unavailable,skip,strategy_signal,source unavailable: strategy_signal
159003,招商快线ETF,momentum_60d,,,0.45,higher_better,,source_unavailable,skip,strategy_signal,source unavailable: strategy_signal
159003,招商快线ETF,momentum_120d,,,0.25,higher_better,,source_unavailable,skip,strategy_signal,source unavailable: strategy_signal
159003,招商快线ETF,volatility_20d,,,0.5,lower_better,,source_unavailable,skip,strategy_signal,source unavailable: strategy_signal
159003,招商快线ETF,max_drawdown_60d,,,0.2,higher_better,,source_unavailable,skip,strategy_signal,source unavailable: strategy_signal
159003,招商快线ETF,avg_amount_20,,,0.15,higher_better,,source_unavailable,skip,strategy_signal,source unavailable: strategy_signal
159003,招商快线ETF,data_completeness,,,0.15,higher_better,,source_unavailable,skip,strategy_signal,source unavailable: strategy_signal
159003,招商快线ETF,tracking_error,,,0.2,lower_better,,source_unavailable,skip,etf_metrics,tracking_error_status=missing_etf_cache
159003,招商快线ETF,relative_return_60d,,,0.2,higher_better,,source_unavailable,skip,etf_metrics,benchmark_status=missing_benchmark
159003,招商快线ETF,fund_size,,,0.1,higher_better,,disabled,skip,etf_metadata,factor disabled by config
159003,招商快线ETF,management_fee,,,0.1,lower_better,,disabled,skip,etf_metadata,factor disabled by config
159003,招商快线ETF,discount_premium,,,0.1,lower_better,,source_unavailable,skip,etf_metrics,discount_premium_status=source_unavailable
159005,快钱ETF汇添富,momentum_20d,,,0.3,higher_better,,source_unavailable,skip,strategy_signal,source unavailable: strategy_signal
159005,快钱ETF汇添富,momentum_60d,,,0.45,higher_better,,source_unavailable,skip,strategy_signal,source unavailable: strategy_signal
159005,快钱ETF汇添富,momentum_120d,,,0.25,higher_better,,source_unavailable,skip,strategy_signal,source unavailable: strategy_signal
159005,快钱ETF汇添富,volatility_20d,,,0.5,lower_better,,source_unavailable,skip,strategy_signal,source unavailable: strategy_signal
