symbol,name,total_score,score_status,enabled_factor_count,used_factor_count,skipped_factor_count,failed_factor_count,missing_required_factor_count,rank,computed_at,notes
159001,货币ETF易方达,,no_used_factors,10,0,12,0,0,,2026-05-15T12:15:27+08:00,no enabled factor produced a usable score
159003,招商快线ETF,,no_used_factors,10,0,12,0,0,,2026-05-15T12:15:27+08:00,no enabled factor produced a usable score
159005,快钱ETF汇添富,,no_used_factors,10,0,12,0,0,,2026-05-15T12:15:27+08:00,no enabled factor produced a usable score
159007,159007,0.5212433862,ok,10,4,7,1,0,6,2026-05-15T12:15:27+08:00,"used=volatility_20d,max_drawdown_60d,avg_amount_20,data_completeness; skipped=momentum_20d:skipped_missing_optional,momentum_60d:skipped_missing_optional,momentum_120d:insufficient_coverage,tracking_error:source_unavailable,relative_return_60d:source_unavailable,discount_premium:source_unavailable"
159008,159008,0.4617543458,ok,10,3,8,1,0,10,2026-05-15T12:15:27+08:00,"used=max_drawdown_60d,avg_amount_20,data_completeness; skipped=momentum_20d:skipped_missing_optional,momentum_60d:skipped_missing_optional,momentum_120d:insufficient_coverage,volatility_20d:skipped_missing_optional,tracking_error:source_unavailable,relative_return_60d:source_unavailable,discount_premium:source_unavailable"
159009,159009,0.2373692637,ok,10,4,7,1,0,24,2026-05-15T12:15:27+08:00,"used=volatility_20d,max_drawdown_60d,avg_amount_20,data_completeness; skipped=momentum_20d:skipped_missing_optional,momentum_60d:skipped_missing_optional,momentum_120d:insufficient_coverage,tracking_error:source_unavailable,relative_return_60d:source_unavailable,discount_premium:source_unavailable"
159010,港股通科技ETF博时,,no_used_factors,10,0,12,0,0,,2026-05-15T12:15:27+08:00,no enabled factor produced a usable score
159013,159013,0.4728851178,ok,10,3,8,1,0,8,2026-05-15T12:15:27+08:00,"used=max_drawdown_60d,avg_amount_20,data_completeness; skipped=momentum_20d:skipped_missing_optional,momentum_60d:skipped_missing_optional,momentum_120d:insufficient_coverage,volatility_20d:skipped_missing_optional,tracking_error:source_unavailable,relative_return_60d:source_unavailable,discount_premium:source_unavailable"
159015,恒生港股通科技ETF国联,,no_used_factors,10,0,12,0,0,,2026-05-15T12:15:27+08:00,no enabled factor produced a usable score
159016,证券ETF广发,,no_used_factors,10,0,12,0,0,,2026-05-15T12:15:27+08:00,no enabled factor produced a usable score
159017,159017,0.4083686066,ok,10,3,8,1,0,15,2026-05-15T12:15:27+08:00,"used=max_drawdown_60d,avg_amount_20,data_completeness; skipped=momentum_20d:skipped_missing_optional,momentum_60d:skipped_missing_optional,momentum_120d:insufficient_coverage,volatility_20d:skipped_missing_optional,tracking_error:source_unavailable,relative_return_60d:source_unavailable,discount_premium:source_unavailable"
159018,159018,0.3834542368,ok,10,3,8,1,0,18,2026-05-15T12:15:27+08:00,"used=max_drawdown_60d,avg_amount_20,data_completeness; skipped=momentum_20d:skipped_missing_optional,momentum_60d:skipped_missing_optional,momentum_120d:insufficient_coverage,volatility_20d:skipped_missing_optional,tracking_error:source_unavailable,relative_return_60d:source_unavailable,discount_premium:source_unavailable"
159019,159019,0.6334334161,ok,10,4,7,1,0,2,2026-05-15T12:15:27+08:00,"used=volatility_20d,max_drawdown_60d,avg_amount_20,data_completeness; skipped=momentum_20d:skipped_missing_optional,momentum_60d:skipped_missing_optional,momentum_120d:insufficient_coverage,tracking_error:source_unavailable,relative_return_60d:source_unavailable,discount_premium:source_unavailable"
159020,159020,0.3879775374,ok,10,3,8,1,0,17,2026-05-15T12:15:27+08:00,"used=max_drawdown_60d,avg_amount_20,data_completeness; skipped=momentum_20d:skipped_missing_optional,momentum_60d:skipped_missing_optional,momentum_120d:insufficient_coverage,volatility_20d:skipped_missing_optional,tracking_error:source_unavailable,relative_return_60d:source_unavailable,discount_premium:source_unavailable"
159022,159022,0.4736470828,ok,10,3,8,1,0,7,2026-05-15T12:15:27+08:00,"used=max_drawdown_60d,avg_amount_20,data_completeness; skipped=momentum_20d:skipped_missing_optional,momentum_60d:skipped_missing_optional,momentum_120d:insufficient_coverage,volatility_20d:skipped_missing_optional,tracking_error:source_unavailable,relative_return_60d:source_unavailable,discount_premium:source_unavailable"
159026,159026,0.383239439,ok,10,3,8,1,0,19,2026-05-15T12:15:27+08:00,"used=max_drawdown_60d,avg_amount_20,data_completeness; skipped=momentum_20d:skipped_missing_optional,momentum_60d:skipped_missing_optional,momentum_120d:insufficient_coverage,volatility_20d:skipped_missing_optional,tracking_error:source_unavailable,relative_return_60d:source_unavailable,discount_premium:source_unavailable"
159028,港股汽车ETF天弘,,no_used_factors,10,0,12,0,0,,2026-05-15T12:15:27+08:00,no enabled factor produced a usable score
