symbol,name,category,sub_category,row_count,min_required_rows,rows_needed,first_date,last_date,latest_expected_date,end_date_gap_days,history_status,liquidity_status,observation_status,observation_priority,estimated_trading_days_until_eligible,estimated_calendar_date_until_eligible,requires_manual_review,manual_review_reason,low_liquidity_flag,abnormal_return_flag,candidate_status,recommended_action,notes
159231,通用航空ETF华宝,unknown,指数型-股票,249,250,1,2025-04-29,2026-05-12,2026-05-15,3,short_history,low_liquidity,manual_review_required,P0_manual_review,1,2026-05-18,True,abnormal_return;requires_review,True,True,blocked_manual_review,manual review required before candidate gate reconsideration,observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate; abnormal return may reflect adjustment/source issues and requires manual confirmation
159387,创业板新能源ETF国泰,broad_based,指数型-股票,223,250,27,2025-06-10,2026-05-12,2026-05-15,3,short_history,ok,manual_review_required,P0_manual_review,27,2026-06-24,True,abnormal_return;requires_review,False,True,blocked_manual_review,manual review required before candidate gate reconsideration,observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate; abnormal return may reflect adjustment/source issues and requires manual confirmation
159246,创业板人工智能ETF富国,broad_based,指数型-股票,201,250,49,2025-07-10,2026-05-12,2026-05-15,3,short_history,ok,manual_review_required,P0_manual_review,49,2026-07-24,True,abnormal_return;requires_review,False,True,blocked_manual_review,manual review required before candidate gate reconsideration,observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate; abnormal return may reflect adjustment/source issues and requires manual confirmation
159287,创业板综ETF博时,broad_based,指数型-股票,167,250,83,2025-08-27,2026-05-12,2026-05-15,3,short_history,low_liquidity,manual_review_required,P0_manual_review,83,2026-09-10,True,abnormal_return;requires_review,True,True,blocked_manual_review,manual review required before candidate gate reconsideration,observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate; abnormal return may reflect adjustment/source issues and requires manual confirmation
560320,N食品ETF富国,unknown,指数型-股票,1,250,249,2026-05-13,2026-05-13,2026-05-15,2,very_short_history,ok,manual_review_required,P0_manual_review,249,unknown,True,too few rows: 1 < 250; close equals high at an unusually high ratio,False,False,blocked_manual_review,manual review required before candidate gate reconsideration,observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159213,机器人ETF汇添富,theme,指数型-股票,248,250,2,2025-04-30,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,2,2026-05-19,False,,False,False,blocked_short_history,"recheck candidate gate after at least 2 new trading day(s), around 2026-05-19",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159382,创业板人工智能ETF南方,broad_based,指数型-股票,244,250,6,2025-05-09,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,6,2026-05-25,False,,False,False,blocked_short_history,"recheck candidate gate after at least 6 new trading day(s), around 2026-05-25",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159208,航空航天ETF万家,unknown,指数型-股票,243,250,7,2025-05-12,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,7,2026-05-26,False,,False,False,blocked_short_history,"recheck candidate gate after at least 7 new trading day(s), around 2026-05-26",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159227,航空航天ETF华夏,unknown,指数型-股票,239,250,11,2025-05-16,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,11,2026-06-01,False,,False,False,blocked_short_history,"recheck candidate gate after at least 11 new trading day(s), around 2026-06-01",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159218,卫星ETF招商,unknown,指数型-股票,235,250,15,2025-05-22,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,15,2026-06-05,False,,False,False,blocked_short_history,"recheck candidate gate after at least 15 new trading day(s), around 2026-06-05",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159241,航空航天ETF天弘,unknown,指数型-股票,230,250,20,2025-05-29,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,20,2026-06-12,False,,False,False,blocked_short_history,"recheck candidate gate after at least 20 new trading day(s), around 2026-06-12",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159230,通用航空ETF华夏,unknown,指数型-股票,229,250,21,2025-05-30,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,21,2026-06-15,False,,False,False,blocked_short_history,"recheck candidate gate after at least 21 new trading day(s), around 2026-06-15",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
588940,科创50ETF富国,broad_based,指数型-股票,228,250,22,2025-06-03,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,22,2026-06-16,False,,False,False,blocked_short_history,"recheck candidate gate after at least 22 new trading day(s), around 2026-06-16",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
588710,科创半导体设备ETF华泰柏瑞,industry,指数型-股票,227,250,23,2025-06-04,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,23,2026-06-17,False,,False,False,blocked_short_history,"recheck candidate gate after at least 23 new trading day(s), around 2026-06-17",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159205,创业板ETF东财,broad_based,指数型-股票,221,250,29,2025-06-12,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,29,2026-06-26,False,,False,False,blocked_short_history,"recheck candidate gate after at least 29 new trading day(s), around 2026-06-26",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
588270,科创200ETF易方达,unknown,指数型-股票,219,250,31,2025-06-16,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,31,2026-06-30,False,,False,False,blocked_short_history,"recheck candidate gate after at least 31 new trading day(s), around 2026-06-30",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159263,价值ETF易方达,unknown,指数型-股票,203,250,47,2025-07-08,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,47,2026-07-22,False,,False,False,blocked_short_history,"recheck candidate gate after at least 47 new trading day(s), around 2026-07-22",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159242,创业板人工智能ETF大成,broad_based,指数型-股票,191,250,59,2025-07-24,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,59,2026-08-07,False,,False,False,blocked_short_history,"recheck candidate gate after at least 59 new trading day(s), around 2026-08-07",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159248,人工智能ETF万家,theme,指数型-股票,191,250,59,2025-07-24,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,59,2026-08-07,False,,False,False,blocked_short_history,"recheck candidate gate after at least 59 new trading day(s), around 2026-08-07",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
588920,科创芯片ETF鹏华,industry,指数型-股票,189,250,61,2025-07-28,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,61,2026-08-11,False,,False,False,blocked_short_history,"recheck candidate gate after at least 61 new trading day(s), around 2026-08-11",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159258,机器人ETF南方,theme,指数型-股票,185,250,65,2025-08-01,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,65,2026-08-17,False,,False,False,blocked_short_history,"recheck candidate gate after at least 65 new trading day(s), around 2026-08-17",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
